FORD
tid attemp_tp tp 50lat 99lat
0 153166 102854 43.391 946.026
2 150068 100770 43.149 915.348
2.91005e+06 1.97881e+06 43.149 58.191 55.3733 401.866 946.026 475.84

FORD
tid attemp_tp tp 50lat 99lat
9 69054.5 46276.1 114.215 841.228
15 68975.5 46194.5 114.321 840.553
21 68813.1 46147.2 114.336 845.198
14 68768.1 46106.9 114.737 842.116
24 68771.2 46088.5 114.569 845.417
18 68758.6 46134.2 114.769 846.145
11 68757.7 46028.3 114.491 841.777
19 68736.9 46083 114.618 840.935
23 68728.8 46120.8 114.584 844.209
13 68731.8 46062.3 114.414 845.728
29 68727.2 46041 114.54 839.789
30 68702.5 46072 114.854 843.064
20 68693.4 46006.6 114.803 843.477
12 68679.8 46010.8 114.704 844.999
26 68676.4 46019 114.788 843.945
16 68673 46032.5 114.708 845.311
31 68689.5 46024.9 114.519 846.311
25 68678.8 46033.7 114.493 844.909
28 68649.7 46028.9 114.842 841.838
10 68644.3 46025.8 114.968 845.064
17 68657.4 46038.5 114.744 840.301
27 68641.9 46040.3 114.669 844.653
